;Unnamed: 0;first;second;data_type;cosine_similarity
0;0,0;wnut_train;wnut_train;gazetteers;0,6349272131919861
1;1,0;wnut_train;wnut_train;gazetteers;0,6349272131919861
2;2,0;wnut_train;wnut_train;sentences;0,5899672508239746
3;3,0;wnut_train;wnut_train;sentences;0,5899672508239746
4;4,0;wnut_train;wnut_dev;gazetteers;0,5454146862030029
5;5,0;wnut_dev;wnut_train;gazetteers;0,5783860683441162
6;6,0;wnut_train;wnut_dev;sentences;0,3917809128761291
7;7,0;wnut_dev;wnut_train;sentences;0,4029281139373779
8;8,0;wnut_train;wnut_test;gazetteers;0,5474833250045776
9;9,0;wnut_test;wnut_train;gazetteers;0,5506309866905212
10;10,0;wnut_train;wnut_test;sentences;0,4449922442436218
11;11,0;wnut_test;wnut_train;sentences;0,4113253653049469
12;12,0;wnut_train;lowner_train;gazetteers;0,702473521232605
13;13,0;lowner_train;wnut_train;gazetteers;0,5649768710136414
14;14,0;wnut_train;lowner_train;sentences;0,3895328640937805
