first;second;overlap
conll03_train;conll03_train;1,0
conll03_train;conll03_train;1,0
conll03_train;conll03_dev;0,48002042640112347
conll03_dev;conll03_train;0,68832043083137
conll03_train;conll03_test;0,39712328184178053
conll03_test;conll03_train;0,5364730878186968
conll03_dev;conll03_dev;1,0
conll03_dev;conll03_dev;1,0
conll03_dev;conll03_test;0,4173678895994615
conll03_test;conll03_dev;0,4006728045325779
conll03_test;conll03_test;1,0
conll03_test;conll03_test;1,0
wnut_train;wnut_train;1,0
wnut_train;wnut_train;1,0
wnut_train;wnut_dev;0,019746835443037975
wnut_dev;wnut_train;0,03110047846889952
wnut_train;wnut_test;0,013670886075949367
wnut_test;wnut_train;0,018535681186283594
wnut_train;ai_train;0,0020253164556962027
ai_train;wnut_train;0,0037593984962406013
wnut_train;ai_dev;0,014177215189873417
ai_dev;wnut_train;0,008392511297611363
wnut_train;ai_test;0,017721518987341773
ai_test;wnut_train;0,007186290768380321
wnut_train;literature_train;0,005569620253164557
literature_train;wnut_train;0,0073937153419593345
wnut_train;literature_dev;0,02531645569620253
literature_dev;wnut_train;0,009389671361502348
wnut_train;literature_test;0,019240506329113925
literature_test;wnut_train;0,010150044130626656
wnut_train;music_train;0,00810126582278481
music_train;wnut_train;0,007716049382716049
wnut_train;music_dev;0,019240506329113925
music_dev;wnut_train;0,011198208286674132
wnut_train;music_test;0,02278481012658228
music_test;wnut_train;0,014688249400479617
wnut_train;politics_train;0,028860759493670885
politics_train;wnut_train;0,03680981595092025
wnut_train;politics_dev;0,02379746835443038
politics_dev;wnut_train;0,010051694428489374
wnut_train;politics_test;0,04759493670886076
politics_test;wnut_train;0,023521026372059873
wnut_train;science_train;0,010126582278481013
science_train;wnut_train;0,008372093023255815
wnut_train;science_dev;0,00810126582278481
science_dev;wnut_train;0,0070921985815602835
wnut_train;science_test;0,020253164556962026
science_test;wnut_train;0,010035610229847848
wnut_dev;wnut_dev;1,0
wnut_dev;wnut_dev;1,0
wnut_dev;wnut_test;0,08373205741626795
wnut_test;wnut_dev;0,07877664504170528
wnut_dev;ai_dev;0,0011961722488038277
ai_dev;wnut_dev;0,0006455777921239509
wnut_dev;ai_test;0,0011961722488038277
ai_test;wnut_dev;0,000552791597567717
wnut_dev;literature_train;0,0023923444976076554
literature_train;wnut_dev;0,0036968576709796672
wnut_dev;literature_dev;0,007177033492822967
literature_dev;wnut_dev;0,0032863849765258214
wnut_dev;literature_test;0,0023923444976076554
literature_test;wnut_dev;0,001323918799646955
wnut_dev;music_train;0,0011961722488038277
music_train;wnut_dev;0,006172839506172839
wnut_dev;music_dev;0,0035885167464114833
music_dev;wnut_dev;0,0011198208286674132
wnut_dev;music_test;0,004784688995215311
music_test;wnut_dev;0,004196642685851319
wnut_dev;politics_train;0,005980861244019139
politics_train;wnut_dev;0,006134969325153374
wnut_dev;politics_dev;0,007177033492822967
politics_dev;wnut_dev;0,0014359563469270534
wnut_dev;politics_test;0,011961722488038277
politics_test;wnut_dev;0,002613447374673319
wnut_dev;science_dev;0,004784688995215311
science_dev;wnut_dev;0,0015760441292356187
wnut_dev;science_test;0,0011961722488038277
science_test;wnut_dev;0,0006474587245063128
wnut_test;wnut_test;1,0
wnut_test;wnut_test;1,0
wnut_test;ai_train;0,0009267840593141798
ai_train;wnut_test;0,0018796992481203006
wnut_test;ai_dev;0,0027803521779425394
ai_dev;wnut_test;0,0025823111684958036
wnut_test;ai_test;0,0027803521779425394
ai_test;wnut_test;0,001105583195135434
wnut_test;literature_train;0,004633920296570899
literature_train;wnut_test;0,0018484288354898336
wnut_test;literature_dev;0,008341056533827619
literature_dev;wnut_test;0,0028169014084507044
wnut_test;literature_test;0,009267840593141797
literature_test;wnut_test;0,003089143865842895
wnut_test;music_train;0,006487488415199258
music_train;wnut_test;0,007716049382716049
wnut_test;music_dev;0,008341056533827619
music_dev;wnut_test;0,0022396416573348264
wnut_test;music_test;0,010194624652455977
music_test;wnut_test;0,0044964028776978415
wnut_test;politics_train;0,012974976830398516
politics_train;wnut_test;0,00843558282208589
wnut_test;politics_dev;0,013901760889712697
politics_dev;wnut_test;0,0022975301550832855
wnut_test;politics_test;0,022242817423540315
politics_test;wnut_test;0,006177239249227845
wnut_test;science_train;0,0027803521779425394
science_train;wnut_test;0,0018604651162790699
wnut_test;science_dev;0,0018535681186283596
science_dev;wnut_test;0,0007880220646178094
wnut_test;science_test;0,006487488415199258
science_test;wnut_test;0,0009711880867594691
ai_train;ai_train;1,0
ai_train;ai_train;1,0
ai_train;ai_dev;0,32706766917293234
ai_dev;ai_train;0,2304712717882505
ai_train;ai_test;0,38533834586466165
ai_test;ai_train;0,24986180210060807
ai_train;literature_train;0,015037593984962405
literature_train;ai_train;0,0166358595194085
ai_train;literature_dev;0,041353383458646614
literature_dev;ai_train;0,016901408450704224
ai_train;literature_test;0,03383458646616541
literature_test;ai_train;0,011915269196822596
ai_train;music_train;0,022556390977443608
music_train;ai_train;0,026234567901234566
ai_train;music_dev;0,039473684210526314
music_dev;ai_train;0,013437849944008958
ai_train;music_test;0,043233082706766915
music_test;ai_train;0,01618705035971223
ai_train;politics_train;0,043233082706766915
politics_train;ai_train;0,032975460122699383
ai_train;politics_dev;0,05263157894736842
politics_dev;ai_train;0,023262492820218264
ai_train;politics_test;0,05827067669172932
politics_test;ai_train;0,026609645996673793
ai_train;science_train;0,020676691729323307
science_train;ai_train;0,011162790697674419
ai_train;science_dev;0,039473684210526314
science_dev;ai_train;0,013396375098502758
ai_train;science_test;0,03195488721804511
science_test;ai_train;0,008416963418582066
ai_dev;ai_dev;1,0
ai_dev;ai_dev;1,0
ai_dev;ai_test;0,38282763072950293
ai_test;ai_dev;0,3714759535655058
ai_dev;literature_train;0,015493867010974823
literature_train;ai_dev;0,027726432532347505
ai_dev;literature_dev;0,03357004519044545
literature_dev;ai_dev;0,028169014084507043
ai_dev;literature_test;0,025177533892834086
literature_test;ai_dev;0,02559576345984113
ai_dev;music_train;0,011620400258231117
music_train;ai_dev;0,024691358024691357
ai_dev;music_dev;0,02775984506132989
music_dev;ai_dev;0,0253826054497947
ai_dev;music_test;0,030987734021949646
music_test;ai_dev;0,023381294964028777
ai_dev;politics_train;0,02775984506132989
politics_train;ai_dev;0,037576687116564415
ai_dev;politics_dev;0,035506778566817304
politics_dev;ai_dev;0,023836875358989085
ai_dev;politics_test;0,04131697869593286
politics_test;ai_dev;0,033024471370871944
ai_dev;science_train;0,025177533892834086
science_train;ai_dev;0,024186046511627906
ai_dev;science_dev;0,03486120077469335
science_dev;ai_dev;0,027186761229314422
ai_dev;science_test;0,036152356358941255
science_test;ai_dev;0,025574619617999353
ai_test;ai_test;1,0
ai_test;ai_test;1,0
ai_test;literature_train;0,007739082365948038
literature_train;ai_test;0,027726432532347505
ai_test;literature_dev;0,030403537866224434
literature_dev;ai_test;0,03051643192488263
ai_test;literature_test;0,01990049751243781
literature_test;ai_test;0,0264783759929391
ai_test;music_train;0,01271420674405749
music_train;ai_test;0,024691358024691357
ai_test;music_dev;0,01990049751243781
music_dev;ai_test;0,023889511011571482
ai_test;music_test;0,027639579878385848
music_test;ai_test;0,028477218225419664
ai_test;politics_train;0,02321724709784411
politics_train;ai_test;0,04294478527607362
ai_test;politics_dev;0,029297954671088998
politics_dev;ai_test;0,02469844916714532
ai_test;politics_test;0,03482587064676617
politics_test;ai_test;0,037776193870277974
ai_test;science_train;0,014925373134328358
science_train;ai_test;0,021395348837209303
ai_test;science_dev;0,027639579878385848
science_dev;ai_test;0,022852639873916468
ai_test;science_test;0,025981205085682697
science_test;ai_test;0,024279702168986728
literature_train;literature_train;1,0
literature_train;literature_train;1,0
literature_train;literature_dev;0,27171903881700554
literature_dev;literature_train;0,13051643192488263
literature_train;literature_test;0,2809611829944547
literature_test;literature_train;0,14033539276257723
literature_train;music_train;0,038817005545286505
music_train;literature_train;0,040123456790123455
literature_train;music_dev;0,07763401109057301
music_dev;literature_train;0,03919372900335946
literature_train;music_test;0,09611829944547134
music_test;literature_train;0,03866906474820144
literature_train;politics_train;0,04436229205175601
politics_train;literature_train;0,029141104294478526
literature_train;politics_dev;0,05730129390018484
politics_dev;literature_train;0,019241815048822514
literature_train;politics_test;0,07208872458410351
politics_test;literature_train;0,03017343787122832
literature_train;science_train;0,038817005545286505
science_train;literature_train;0,013953488372093023
literature_train;science_dev;0,06839186691312385
science_dev;literature_train;0,0169424743892829
literature_train;science_test;0,05545286506469501
science_test;literature_train;0,01424409193913888
literature_dev;literature_dev;1,0
literature_dev;literature_dev;1,0
literature_dev;literature_test;0,27417840375586855
literature_test;literature_dev;0,27493380406001766
literature_dev;music_train;0,022535211267605635
music_train;literature_dev;0,05864197530864197
literature_dev;music_dev;0,06103286384976526
music_dev;literature_dev;0,07054871220604703
literature_dev;music_test;0,07042253521126761
music_test;literature_dev;0,06924460431654676
literature_dev;politics_train;0,04131455399061033
politics_train;literature_dev;0,07131901840490798
literature_dev;politics_dev;0,055868544600938964
politics_dev;literature_dev;0,05025847214244687
literature_dev;politics_test;0,09295774647887324
politics_test;literature_dev;0,0824423853646947
literature_dev;science_train;0,030985915492957747
science_train;literature_dev;0,026976744186046512
literature_dev;science_dev;0,04835680751173709
science_dev;literature_dev;0,03230890464933018
literature_dev;science_test;0,050234741784037557
science_test;literature_dev;0,03237293622531564
literature_test;literature_test;1,0
literature_test;literature_test;1,0
literature_test;music_train;0,026037069726390114
music_train;literature_test;0,05709876543209876
literature_test;music_dev;0,06354810238305383
music_dev;literature_test;0,0761478163493841
literature_test;music_test;0,06972639011473963
music_test;literature_test;0,0698441247002398
literature_test;politics_train;0,03486319505736982
politics_train;literature_test;0,06365030674846625
literature_test;politics_dev;0,050750220653133275
politics_dev;literature_test;0,04796094198736359
literature_test;politics_test;0,06884377758164166
politics_test;literature_test;0,07056307911617961
literature_test;science_train;0,02736098852603707
science_train;literature_test;0,026046511627906978
literature_test;science_dev;0,04677846425419241
science_dev;literature_test;0,029944838455476755
literature_test;science_test;0,04854368932038835
science_test;literature_test;0,03302039494982195
